sku	asin	price	quantity
58	B0002HYVZ6	15.98	2
59	B003HGSIHG	141.42	5
60	B002KKCO1Q	30.56	5
61	B00368CQ6O	16.04	5
62	B00368CQ6Y	22.17	5
64	B003WOKY6G	27.37	5
101286	B003E47HM8	15.06	1
101287	B003WOKY66	30.23	5
101289	B003WOKY6Q	37.59	5
101306	B0032ALZ4K	11.30	1
101325	B0032ALYGE	9.34	2
101327	B0032ALYGY	13.69	1
101328	B0032ALYH8	28.01	2
101332	B0032ALYHI	12.60	1
101357	B003E47HJQ	17.46	2
101365	B0032ALYM8	13.80	1
101379	B0032ALYNW	22.71	1
101398	B0032ALYRI	58.82	2
101403	B0032ALYDC	7.37	2
10149	B000XPEIPU	6.54	1
101493	B001GXR300	22.55	5
101494	B001GXR2ZG	12.46	4
101783	B0032ALZ2W	14.75	5
10199	B0002HYV1K	4.65	1
10209	B000HB8NA6	5.63	2
10220	B0002HYV5G	4.65	4
102476	B004DEW8FE	3.25	3
102481	B004DES7YU	4.78	4
102518	B004DEU30G	12.21	1
102574	B004DEYABO	6.24	3
102599	B004DES97U	14.51	2
102624	B004DEU41Y	5.12	1
102646	B004DEYARI	8.40	1
102649	B004DF0BRA	13.10	3
102652	B004DF0BSY	49.46	1
102661	B004DES9X4	6.93	1
102664	B004DEYB04	8.74	5
102666	B00439CVDS	7.46	5
102677	B004DF0CMY	5.63	4
102680	B004DESAQU	7.04	4
102681	B004DF0CTM	2.48	1
102684	B004DEWBLA	6.60	2
102685	B004DEWBME	8.07	3
102686	B004DF0D64	7.21	1
102688	B000FSE242	42.16	5
102697	B000PE8QG6	88.99	4
10270	B0002HYVLU	1.92	1
102700	B003MB4QOA	57.02	5
102706	B0017SXU06	100.89	2
102709	B000E1YWO0	14.88	5
102710	B000E1YWOA	16.09	5
102711	B000E1YWOK	19.97	5
102716	B000PKFF78	19.29	5
102717	B001UA9QD6	22.08	5
102719	B000E1YWQS	3.71	5
102721	B000E1YWRC	5.24	5
102725	B000E1YWSG	14.06	1
102726	B000E1YWSQ	10.41	1
102728	B000E1YWTA	5.48	2
102741	B000E1YWVI	9.93	5
102745	B000WN9W6I	33.22	3
102748	B003UES86Q	16.67	5
102749	B003UES870	13.51	5
102753	B000VUZOL4	22.84	1
102764	B000YIQING	16.43	4
102765	B000YIV1TM	33.57	3
102783	B003VWA1YY	14.58	5
102794	B004DEWCM8	12.82	1
10299	B0002HYVT2	3.29	3
102994	B001TEIGZM	43.64	5
10300	B0002HYVTC	3.29	1
10360	B0002HYVH4	4.38	1
10364	B0002HYVP6	5.69	5
10365	B0002HYVPG	5.47	3
10369	B0002HYVQA	6.02	3
10371	B0002HYVQU	7.03	3
103794	B003FNIAO2	20.20	5
103795	B003VBZOJM	23.41	2
103799	B003FUMW76	27.48	3
103802	B003VCC2F0	47.32	1
103819	B002S0O4IY	24.16	5
103873	B0042L116A	15.72	5
103874	B003I664QW	15.76	5
103875	B003FTXN1G	16.80	5
103879	B0043UF26K	11.95	5
103880	B0043QSTDC	15.38	1
103881	B0043UBME6	15.36	4
103891	B0048A2DN0	61.73	2
103899	B003W4NZOE	39.76	2
103905	B004XZBB3S	20.49	5
103945	B0048A7XJY	19.45	2
103949	B004BQHDYA	16.43	2
103950	B00441UFAQ	27.97	1
103951	B00441OSF4	43.53	1
103952	B004BQKRX4	135.75	1
103954	B004BQDQNW	25.35	3
103955	B004BQDQQ4	42.95	1
103956	B004BQKS6K	119.97	1
103957	B005EPMO64	19.02	3
103959	B00691G8KA	42.95	2
103960	B00691G918	119.97	1
104062	B005OI0O1S	120.96	1
104105	B001KPPOTQ	12.32	2
104118	B0048A0ID2	16.43	5
104134	B001M53BQC	34.06	5
104135	B0015MHKPA	131.84	1
104143	B006499SW2	346.65	1
104163	B004XZBI5Y	17.82	4
104166	B004XZBIO0	19.47	1
104169	B0030MSAE8	20.85	3
104170	B004XZBJLC	15.59	5
104171	B004XZBJT4	19.82	5
104172	B0030MSMKU	21.00	3
104173	B004XZBK7U	19.18	5
104179	B004XZAF12	13.49	4
104182	B000Q6BRI2	14.79	5
104184	B000Q65SFA	14.79	4
104185	B000Q6BRIM	14.79	5
104187	B000Q65SEG	13.05	5
104189	B000Q6BRK0	14.79	3
104221	B0031OY760	124.91	1
104438	B00361FV1I	36.73	5
104448	B00361FV7C	30.28	4
104452	B00361FV9K	33.68	5
104453	B00361FV9U	50.95	4
10446	B000NO24RA	7.51	1
10447	B000NO24PM	7.51	5
104586	B002VERKJC	10.16	2
104587	B002VDQ5V2	26.77	1
104630	B001KHH7VC	16.12	1
10533	B000F9SV6G	12.47	2
10698	B0002LICZM	12.99	2
107138	B002KLSSKG	11.85	3
107150	B000KY197O	17.98	1
107156	B002GYVAJS	17.78	2
107157	B00313IA46	18.02	1
107161	B0036VOFV0	23.57	4
107205	B00313IAM8	11.49	1
107206	B002GYVA7K	17.14	1
107220	B00313IAPA	26.97	2
107235	B002GYVAE8	20.81	1
107256	B002GYVAC0	18.02	2
107270	B003B6KMNK	4.77	5
107272	B003B6IZXE	7.08	5
107275	B001THPZMQ	15.19	5
107283	B0038ZLO6S	15.69	5
107297	B00279TWUQ	19.90	4
107301	B002WYKBKQ	19.90	3
107351	B002LARAOG	13.03	2
107464	B003E2JLWE	19.23	2
107521	B0036B560Y	12.40	3
107525	B003EIRFQC	45.90	2
107535	B0038IGP8M	15.56	4
107557	B002P3KFFA	15.02	4
107559	B002M03F3U	15.02	4
107568	B003CBFT50	31.74	2
107608	B0047Y07Z8	67.08	5
107620	B001DNYO1Y	41.74	3
107622	B001DNVGB0	44.46	4
107623	B001DO100Q	44.46	4
107624	B001DNV1S8	40.83	2
107626	B0047Y07Y4	53.67	4
107677	B000MC1QI6	44.09	1
10775	B0002LIDOM	8.71	1
10793	B000F9SVPW	12.53	1
10805	B0002LIBGM	10.02	5
10808	B000F9SVNY	18.62	5
10811	B000F9SV3E	16.22	2
108533	B000V8CZAO	7.59	1
108535	B0010DPF10	5.81	2
108547	B0010704WQ	37.43	1
10898	B0002LIEPA	16.06	1
10901	B000CGXGV2	15.27	1
10916	B0002LIEDW	13.88	2
10918	B0002LIEEG	15.58	2
10919	B0002LIEEQ	15.74	1
10920	B0002LIEF0	15.27	2
10923	B0002LIEIC	15.27	1
10924	B0002LIEIM	4.91	1
10926	B0002LIEH8	15.27	3
10927	B0002LIEHI	15.27	3
10930	B0002LIEHS	10.30	2
10941	B000F9SV48	20.47	2
10942	B000F9SVOI	15.47	2
10943	B000F9SV4I	12.06	4
10949	B0002LIF18	15.28	3
10989	B000CGXGSK	50.44	2
109979	B003DZ00C2	10.28	1
109990	B0039FCNAS	12.08	1
109991	B0039FAZ8U	12.08	1
110081	B000JTIZW2	11.81	1
11073	B000NP9MME	23.80	5
11099	B000NOKCN8	16.37	4
111085	B003IHUUU2	8.66	2
111104	B004KKXER2	42.22	1
111109	B004VIIAAE	52.29	1
111116	B004EI8TNO	47.43	2
111118	B004KKXECW	50.85	3
111124	B004KKXEGS	46.86	1
111182	B0040ZOFLQ	55.17	2
111189	B0040ZOBB0	16.91	5
111190	B0040ZOBBA	40.05	5
111191	B0040ZOBBK	15.99	5
111200	B003P7INCW	13.84	1
111201	B003P7M31Y	11.60	1
111202	B0040ZOBCO	77.88	2
111203	B0040ZOBCY	30.45	2
111204	B0040ZOBD8	18.86	5
111210	B0040ZOBEW	16.96	1
111211	B0040ZOBF6	17.54	2
111217	B0040ZOBGA	5.89	4
111218	B0040ZOBGK	12.97	5
111231	B003JEKE3W	19.99	5
111235	B003JENF10	14.29	5
111238	B003KKT76A	20.77	5
111239	B0040ZOBIS	25.15	3
111242	B0040ZOBJC	18.17	5
111250	B0049KUX5E	10.60	5
111251	B0040ZOBKQ	20.18	5
111252	B003TMX0X0	17.76	2
111253	B003JEPJIW	16.15	4
111256	B004YWH8RS	27.74	1
111261	B003JEICIQ	25.20	2
111262	B0051GKW6K	9.39	5
111263	B004E2BKMW	17.85	5
111268	B0040ZOBMY	26.18	4
111269	B0040ZOBN8	127.91	1
111271	B003JEICL8	55.47	5
111273	B0040ZOBO2	27.09	5
111290	B00569HSKA	16.03	5
111309	B004GXJ602	30.47	1
111330	B004KKXE6S	69.55	1
111331	B004KKXE72	76.40	1
111355	B004DEWGCE	5.13	1
111410	B003PEMI3A	24.82	5
111422	B0036TGYP2	53.59	5
11160	B000NOKCRO	11.79	5
112414	B003RRY4IM	49.01	2
112415	B003RRY4IW	49.85	1
112420	B003RRY4JG	45.38	4
112421	B003RRY4JQ	46.38	2
